date;project;readthroughput;writethroughput
2024-01-07T18:11:18+01:00;GWDG 4v 8GB;48091;179531
2024-01-07T18:19:09+01:00;GWDG 4v 8GB;45557;183534
2024-01-07T18:26:22+01:00;GWDG 4v 8GB;50900;183518
2024-01-07T18:33:03+01:00;GWDG 4v 8GB;56160;183590
2024-01-07T18:39:53+01:00;GWDG 4v 8GB;54633;183602
2024-01-07T18:46:35+01:00;GWDG 4v 8GB;56120;183509
2024-01-07T18:53:19+01:00;GWDG 4v 8GB;55664;183425
2024-01-07T19:00:17+01:00;GWDG 4v 8GB;53279;183638
2024-01-07T19:07:10+01:00;GWDG 4v 8GB;53882;183475
2024-01-07T19:14:08+01:00;GWDG 4v 8GB;53123;183437
