date;project;readthroughput;writethroughput
2024-01-06T00:10:41+01:00;GWDG 4v 8GB;116293;211659
2024-01-06T00:14:35+01:00;GWDG 4v 8GB;119854;210657
2024-01-06T00:18:26+01:00;GWDG 4v 8GB;122868;210528
2024-01-06T00:22:19+01:00;GWDG 4v 8GB;120610;210488
2024-01-06T00:26:14+01:00;GWDG 4v 8GB;118270;210665
2024-01-06T00:30:08+01:00;GWDG 4v 8GB;120019;210499
2024-01-06T00:34:00+01:00;GWDG 4v 8GB;121024;210631
2024-01-06T00:37:50+01:00;GWDG 4v 8GB;123192;210620
2024-01-06T00:41:40+01:00;GWDG 4v 8GB;122532;210663
2024-01-06T00:45:33+01:00;GWDG 4v 8GB;121081;210626
