date;project;readthroughput;writethroughput
2024-01-08T13:58:50+00:00;Strato 4v 8GB;489688;527568
2024-01-08T14:00:07+00:00;Strato 4v 8GB;485409;522199
2024-01-08T14:01:24+00:00;Strato 4v 8GB;485381;522801
2024-01-08T14:02:42+00:00;Strato 4v 8GB;485171;522784
2024-01-08T14:03:59+00:00;Strato 4v 8GB;484904;522784
2024-01-08T14:05:16+00:00;Strato 4v 8GB;484946;521371
2024-01-08T14:06:33+00:00;Strato 4v 8GB;484932;521517
2024-01-08T14:07:50+00:00;Strato 4v 8GB;485128;523013
2024-01-08T14:09:07+00:00;Strato 4v 8GB;485086;522280
2024-01-08T14:10:25+00:00;Strato 4v 8GB;484932;522101
