date;project;scoreBitsPerSec
2024-01-07T16:55:31+01:00;GWDG 4v 8GB;2292053054.573956
2024-01-07T16:56:00+01:00;GWDG 4v 8GB;350183605.7967304
2024-01-07T16:56:32+01:00;GWDG 4v 8GB;197987374.96412545
2024-01-07T16:57:02+01:00;GWDG 4v 8GB;321791909.7479581
2024-01-07T16:57:31+01:00;GWDG 4v 8GB;263379429.99117714
2024-01-07T16:58:00+01:00;GWDG 4v 8GB;327441016.9125093
2024-01-07T16:58:33+01:00;GWDG 4v 8GB;291845971.8945457
2024-01-07T16:58:53+01:00;GWDG 4v 8GB;1692685265.4788184
2024-01-07T16:59:13+01:00;GWDG 4v 8GB;2280420055.9311385
2024-01-07T16:59:33+01:00;GWDG 4v 8GB;215524887.48370394
