date;project;scoreBitsPerSec
2024-01-08T11:33:23+00:00;Strato 4v 8GB;1874142695.7014692
2024-01-08T11:33:53+00:00;Strato 4v 8GB;1875372731.7472289
2024-01-08T11:34:39+00:00;Strato 4v 8GB;1875187050.3474822
2024-01-08T11:35:09+00:00;Strato 4v 8GB;1874974935.2356086
2024-01-08T11:35:39+00:00;Strato 4v 8GB;1874394583.7276633
2024-01-08T11:36:09+00:00;Strato 4v 8GB;1875068495.2328687
2024-01-08T11:36:39+00:00;Strato 4v 8GB;1875896934.3440287
2024-01-08T11:37:10+00:00;Strato 4v 8GB;1874273151.2138577
2024-01-08T11:37:40+00:00;Strato 4v 8GB;1875091986.7733047
2024-01-08T11:38:10+00:00;Strato 4v 8GB;1874485225.1359286
