date;project;uploadBitsPerSec;downloadBitsPerSec
2024-01-08T15:37:30+00:00;Strato 4v 8GB;1874774044.6658113;3143068263.088922
2024-01-08T15:38:10+00:00;Strato 4v 8GB;1875135642.774165;3152364656.431938
2024-01-08T15:38:50+00:00;Strato 4v 8GB;1875062137.4091146;3132393951.3301387
2024-01-08T15:39:31+00:00;Strato 4v 8GB;1874664767.7506137;3151306515.57032
2024-01-08T15:40:11+00:00;Strato 4v 8GB;1875371437.5884109;3141150595.489801
2024-01-08T15:40:51+00:00;Strato 4v 8GB;1874492624.11122;3148506858.5325127
2024-01-08T15:41:32+00:00;Strato 4v 8GB;1874850977.256107;3150586944.780985
2024-01-08T15:42:12+00:00;Strato 4v 8GB;1874010946.0982013;3138026476.2558537
2024-01-08T15:42:52+00:00;Strato 4v 8GB;1875986160.9190161;3157909841.52437
2024-01-08T15:43:33+00:00;Strato 4v 8GB;1873303748.527013;3160198465.1621914
