date;project;ops;mibs
2024-01-07T23:16:21+01:00;GWDG 4v 8GB;2647974.56;2585.91
2024-01-07T23:16:41+01:00;GWDG 4v 8GB;2738339.78;2674.16
2024-01-07T23:17:01+01:00;GWDG 4v 8GB;3000765.58;2930.44
2024-01-07T23:17:21+01:00;GWDG 4v 8GB;2807215.54;2741.42
2024-01-07T23:17:41+01:00;GWDG 4v 8GB;3206324.91;3131.18
2024-01-07T23:18:01+01:00;GWDG 4v 8GB;3242592.23;3166.59
2024-01-07T23:18:21+01:00;GWDG 4v 8GB;5059171.35;4940.60
2024-01-07T23:18:41+01:00;GWDG 4v 8GB;3184401.25;3109.77
2024-01-07T23:19:01+01:00;GWDG 4v 8GB;2631748.94;2570.07
2024-01-07T23:19:22+01:00;GWDG 4v 8GB;3004088.24;2933.68
